Expression,Type,Source sentence,Meaning / Nuance,My sentence,Status
cross-cultural communication,phrase,cross-cultural communication is an especially difficult hurdle,異文化間コミュニケーション。文化・言語・価値観の違いをまたぐ意思疎通。,Cross-cultural communication is a major part of market entry.,Active
difficult hurdle,collocation,cross-cultural communication is an especially difficult hurdle,乗り越えるのが難しい障害・壁。challengeよりも「越えるべき壁」のイメージが強い。,Local hiring is often a difficult hurdle for foreign startups.,Active
reinforce it,phrase,and you reinforce it as shown here.,既存の思い込み・傾向・問題をさらに強めるという意味。ここでは「あなたの発言がその思い込みを強化している」という批判。,We should not reinforce the customer's existing concerns.,Active
enclaves,word,people in various countries who stay in their enclaves,飛び地、孤立した集団・区域。ここでは同じ国籍・民族・文化圏の人たちだけで固まるコミュニティ。,-,Passive
stay in their enclaves,phrase,people in various countries who stay in their enclaves,現地社会や多様な人々と混ざらず、自分たちの内輪コミュニティに留まること。,Some expats stay in their enclaves and rarely interact with local businesses.,Active
reclusive,word,become reclusive in diverse work or social settings,人との交流を避け、閉じこもりがちな状態。ここでは多様な職場・社交環境で内向きになるニュアンス。,-,Passive
become reclusive,phrase,become reclusive in diverse work or social settings,社交的な場で関わりを避け、孤立しがちになること。やや心理状態を含む。,-,Passive
assimilate to the new culture,phrase,never assimilate to the new culture,新しい文化に同化・適応すること。ここでは移住先や海外環境に馴染まないという意味。,It takes time to assimilate to a new business culture.,Active
gravitate towards,phrase,people just tend to gravitate towards what they immediately know,自然と慣れたもの・よく知っているものに向かう。意識的な選択というより心理的傾向。,Buyers tend to gravitate towards vendors they already know.,Active
come out of their comfort zones,phrase,might need some time to come out of their comfort zones,慣れた安全圏から出ること。新しい人・場所・考え方に慣れるまで時間が必要というニュアンス。,It takes time for local partners to come out of their comfort zones.,Active
opening up to new people places and ideas,phrase,not so flexible when it comes to opening up to new people places and ideas,新しい人・場所・考え方に対して心を開く、受け入れるという意味。文化的な柔軟性の話。,Some organizations are slow to open up to new ideas.,Active
rigid in many ways,phrase,Japan tends to be rigid in many ways,多くの面で硬直的・柔軟性が低いという意味。かなり一般化した表現なので使い方に注意。,The procurement process can be rigid in many ways.,Active
unwritten and unspoken societal rules,phrase,there are lots of unwritten and unspoken societal rules that one has to follow,明文化されていないが守るべき社会的ルール。日本の空気・慣習・暗黙の了解に近い。,Japan has many unwritten and unspoken business rules.,Active
break away from that,phrasal verb,It could be hard for them to break away from that,既存の習慣・文化・考え方から抜け出すこと。ここでは内向きな行動様式から離れる難しさ。,It is hard for companies to break away from old sales practices.,Active
integrating foreign workers into,phrase,whether integrating foreign workers into their own companies,外国人労働者を自社に受け入れ、組織の一部として機能させること。単なる採用よりも定着・組織適応を含む。,Integrating foreign workers into local teams requires clear communication.,Script
